 X Y ra dec GMAG Gaia_RA Gaia_dec Gaia_B-R med std SNR
0 1558.176022429758 22.643263735669652 262.29574683772694 42.4947494111485 nan nan nan nan 207.37158699999998 67.20477879940285 3.0856672799857887
1 1467.6394377004547 107.84246214255765 262.38137636067734 42.55688967695952 nan nan nan nan 59.8163155 77.3158561224488 0.7736616846777982
2 1199.5003505072264 109.73701139826049 262.6365987825073 42.57000836699785 nan nan nan nan 291.9563175 123.92485201271072 2.355914191207222
3 1793.3841974679124 124.77252693938891 262.0751640678245 42.54875971478261 nan nan nan nan 182.1280815 78.98939695245556 2.3057282183028254
4 1415.4357476993423 191.44752292820516 262.4295891985533 42.614584197771464 9.8199 262.42951727197 42.6148151068 0.5746 488.79837899999995 318.1682008670093 1.5362892258497953
5 1977.03110034621 198.73872481164094 261.909816077258 42.59250342056199 nan nan nan nan 166.168075 84.37393274404553 1.9694243185757732
6 630.3655797345815 223.15674663325456 263.1646479095182 42.64245630478698 nan nan nan nan 249.04386399999999 99.54954449700918 2.501707720093909
7 1761.8985951854831 233.8695999299166 262.1068450782474 42.627408689692146 nan nan nan nan 453.68969949999996 220.38967394224062 2.0585796574974844
8 82.97429496255931 296.20574225774874 263.6535001155705 42.662221192608676 nan nan nan nan 234.453917 85.55118553750313 2.740510438598449
9 1938.8384470164174 331.2901861816437 261.94912641034404 42.69110568367392 nan nan nan nan 270.22387100000003 94.15123601487598 2.870104338909629
10 1847.9394963077668 335.5258903163145 262.03081199456665 42.6963832862378 nan nan nan nan 335.73080849999997 143.78668891221815 2.3349227319989527
11 1189.7521978304062 337.33196403249144 262.63790331983495 42.7170244797891 nan nan nan nan 223.3265945 98.3308750630719 2.2711746880799413
12 1414.5034038512922 354.5439719855159 262.4284177139682 42.722765804230036 9.1644 262.42866037938 42.72270922188 0.5548 989.785344 583.3927032431072 1.696602200366472
13 1929.1662720504855 383.28439346290827 261.95928531535725 42.72905791178639 nan nan nan nan 638.837705 213.52271721023502 2.991895725881939
14 938.6841762237843 403.30686019417544 262.8691463792132 42.76250494681892 nan nan nan nan 198.86677400000002 109.54236670200868 1.8154325124358792
15 1964.904450588235 410.14573832564645 261.9283456721971 42.74818629341725 nan nan nan nan 281.35626 128.97728045788278 2.1814404754167245
16 291.21975385649336 417.7834779361499 263.4597647461342 42.757562929060576 nan nan nan nan 202.4611915 83.08462590291631 2.436806921855485
17 927.3722233373785 447.0237390140005 262.87803148946483 42.790919077590836 nan nan nan nan 387.5229665 208.7759740311738 1.8561664880180908
18 1405.6972783052788 560.3333900006924 262.43469296100534 42.860292260157316 nan nan nan nan 327.20867450000003 181.77365260664575 1.8000885706361005
19 1841.8297866902617 574.9233756376823 262.04044143269607 42.866212265921114 8.1935 262.04044397816 42.86633607764 1.0366 3251.5255740000002 1438.9851333285783 2.259596363222153
20 817.7448333890665 679.6281209856728 262.97230544640416 42.942974401729536 nan nan nan nan 104.8247545 80.04367005797428 1.3095945553730506
21 1399.95146826547 747.6556881494491 262.43854168715967 42.9853852492826 nan nan nan nan 203.3563135 98.77428036550553 2.058798229129059
22 177.51591938224482 783.0587161596341 263.5492882516115 43.00303616263146 nan nan nan nan 379.1231245 125.86085161208436 3.012240260923191
23 1830.9164244160802 951.109445852497 262.0504903068709 43.125556291032375 nan nan nan nan 183.57073 73.08583432056537 2.5117142289822048
24 1258.8177478455482 993.3292198163668 262.5651540405855 43.14885815761808 nan nan nan nan 438.61624 236.55077668626208 1.8542160213734487
25 1527.3733583203189 1008.2000400361474 262.3211896862927 43.15891176019718 nan nan nan nan 221.636004 58.83984880288428 3.766767055137905
26 455.8079296653065 1053.556776461183 263.29728708037015 43.18873348848919 nan nan nan nan 310.7776725 118.15910317237562 2.630162756454101
27 894.4615073160694 1065.675296737857 262.8976402679574 43.19767075459382 nan nan nan nan 456.821129 187.33179826968876 2.4385669342817384
28 665.143816556229 1107.4323447137106 263.10685330742297 43.2253251062501 9.0809 263.10673275357 43.22541458168 0.5978 970.10256 488.32598589088815 1.9865880334632864
29 1901.3628883701042 1119.2240418854365 261.9865875420176 43.240928600087464 nan nan nan nan 757.330069 288.73639274849677 2.6229117216258593
30 287.67093757947464 1150.817222329036 263.4495558944609 43.252749172343044 nan nan nan nan 89.3702935 76.19680567947441 1.172887665080614
31 816.2648902993627 1179.938423816354 262.9686423991323 43.2733358530117 8.7934 262.96860259134 43.27348365831 1.5703 1489.54 665.9372577659923 2.236757265987689
32 1366.8548935585586 1224.045053599684 262.4648776032378 43.301026283125076 11.1135 262.46506740742 43.30084371837 1.2215 220.231457 87.74243060377832 2.509976706646152
33 1306.8120541857245 1238.2391094137843 262.5195111709533 43.310401778270304 8.4139 262.51961821063 43.3106055555 0.4171 2457.5569105 1124.7647593153874 2.1849519111852733
34 977.0809960936692 1334.3438917992578 262.8208762539133 43.37507646711678 nan nan nan nan 288.65648799999997 153.17117970879903 1.8845352536213305
35 634.2949869893912 1355.3532969368441 263.1348191748403 43.38983309543932 nan nan nan nan 378.857354 169.52541715406693 2.2348115129879873
36 42.71905681365311 1368.5311359271655 263.67245389440586 43.397211368349794 6.8945 263.67277823402 43.39703925884 1.3845 5994.0541175 3261.7474078556475 1.8376818827429184
37 1610.6084482340264 1384.819717432901 262.24187318578066 43.40799458901852 nan nan nan nan 160.119331 64.70844582207344 2.4744734472571714
38 734.9810521908655 1400.2014205681598 263.04269252769666 43.41957655543083 nan nan nan nan 886.3687465 412.3608385197182 2.149497875893993
